"","rdden_km_km2","xings_km2","P_AgLand","P_Urban21Land","mines","grvl_mn_km2","P_canal"
"1%",0,0,0,0,0,0,0
"10%",0.341853913924204,0,0,0,0,0,0
"25%",1.1854942342048,0.042400789391774,0,0,0,0,0
"30%",1.36579564919345,0.106934747219579,0,0.081787602558088,0,0,0
"35%",1.5711279454722,0.15232160465159,0,0.411901297811584,0,0,0
"40%",1.81711847153762,0.203149173113857,0,0.859831175272231,0,0,0
"45%",2.04063562399628,0.24611545318574,0,1.21446757427823,0,0,0
"50%",2.24748123287011,0.298966202519791,0,1.599287680606,0,0,0
"55%",2.42742978106944,0.341312707572519,0,2.12968156701578,0,0,0
"60%",2.61753317919954,0.387563132848304,0,2.71007210792812,0,0,0
"65%",2.78298807019136,0.433689099094784,0.00382081469564469,3.30587074573532,0,0,0
"70%",2.98601505140805,0.472677066844738,0.0821103987400434,3.80424574428443,0,0,0
"75%",3.18955530652695,0.533281933709767,0.340760205621773,4.24648447196179,0,0,0
"80%",3.37716541264872,0.617977607526059,0.988702906206373,4.75384407813033,1,0,0
"85%",3.63622098061121,0.739501098861717,3.44518908371919,5.38024290440549,2,0,0
"90%",4.04375309179149,0.91400767352936,9.86303850666936,6.44038895512683,4,0.000715164182549337,0
"95%",4.90795511400519,1.3554346979079,30.045899736624,9.65086414818065,15,0.00488465319617043,2.55132514593085
"99%",11.3115350628679,2.59338038348676,80.7860510976585,16.2505774885354,92.7399999999998,0.0267972317399896,17.1662937082924
